iter	RMSE
0	0.7353148968
1	0.7285208111
2	0.7226240678
3	0.7171061603
4	0.7118097865
5	0.7060503177
6	0.7015855583
7	0.6957051308
8	0.6909730918
9	0.6857191592
10	0.6798426493
11	0.6740299006
12	0.6687628232
13	0.662828386
14	0.6586751011
15	0.6538874946
16	0.6488590461
17	0.6439681487
18	0.6395063134
19	0.6342315799
20	0.6296024414
21	0.6257988012
22	0.6218126346
23	0.6182854622
24	0.613117879
25	0.608916253
26	0.6049431936
27	0.5999109439
28	0.5948462078
29	0.5903366556
30	0.5850970674
31	0.5800164746
32	0.5764072814
33	0.5714887325
34	0.5670779731
35	0.5626140961
36	0.5578067436
37	0.5531483681
38	0.5488840949
39	0.5436813674
40	0.5396655398
41	0.5351719216
42	0.5305606961
43	0.5260713927
44	0.52197342
45	0.516980941
46	0.5120593435
47	0.508673028
48	0.504283686
49	0.5007437469
50	0.4959245887
51	0.4925834548
52	0.4887236547
53	0.4850623312
54	0.4807143125
55	0.476844393
56	0.4738547868
57	0.4701991666
58	0.4664025613
59	0.4630144526
60	0.4597608273
61	0.4563427005
62	0.4519867357
63	0.4493341044
64	0.445625782
65	0.4425100231
66	0.4394159963
67	0.4365824085
68	0.4332397303
69	0.4299329727
70	0.4273357549
71	0.4243719516
72	0.4212356243
73	0.417249213
74	0.4149157419
75	0.411347313
76	0.4086340545
77	0.405287498
78	0.4017587947
79	0.3980199484
80	0.3950976783
81	0.3915931376
82	0.38818007
83	0.3858190987
84	0.3824299068
85	0.3800042945
86	0.3772180456
87	0.3744958261
88	0.371376917
89	0.3683942336
90	0.3648878822
91	0.3620352861
92	0.3595004953
93	0.356368369
94	0.3539051033
95	0.3511709247
96	0.3478183372
97	0.3451927238
98	0.3427909581
99	0.3407370961
100	0.3376616546
101	0.335000203
102	0.3323777244
103	0.3298705307
104	0.3269963629
105	0.3248656761
106	0.3220418344
107	0.3193960255
108	0.3174464352
109	0.3153916729
110	0.3128435916
111	0.3100757977
112	0.307522661
113	0.3054013414
114	0.3029791899
115	0.3011100216
116	0.2990546758
117	0.2972314762
118	0.2950733532
119	0.2925683251
120	0.2905808334
121	0.2881373881
122	0.2863438321
123	0.284155394
124	0.2816867482
125	0.279278926
126	0.2776333334
127	0.2756713774
128	0.2733152513
129	0.2707571379
130	0.2690124101
131	0.2667686333
132	0.2649310913
133	0.2625273482
134	0.2605814712
135	0.2586506289
136	0.2565580215
137	0.2544201486
138	0.2520606009
139	0.2503325904
140	0.2484228483
141	0.2465303988
142	0.2442459772
143	0.2422653461
144	0.240697117
145	0.2389032319
146	0.2366710405
147	0.2348782969
148	0.2329473516
149	0.231016844
150	0.2289044558
151	0.2269829518
152	0.2256098266
153	0.223874633
154	0.2222103421
155	0.2206407869
156	0.2190626654
157	0.2172644003
158	0.2155924109
159	0.2143485793
160	0.2126995736
161	0.2111328882
162	0.2092022979
163	0.2073414327
